Language,Glottocode,Glottocode_original,note,Polity_Complexity_Rank,polity_complexity,family_size_glottolog,EGIDS,Family Glottolog
Moldavian,mold1248,mold1248,,,,589,1,Indo-European
Central Kurdish,cent1972,cent1972,,,,589,1,Indo-European
Southern Kurdish,sout2640,sout2640,,,,589,6a*,Indo-European
"Italian, Saluzzese Piedmontese",Ø,Ø,,,,589, ,Indo-European
"Occitan, Languedocien",lang1309,lang1309,,,,589,6b,Indo-European
"Occitan, Northern Auvergnat",auve1239,auve1239,,,,589,6b,Indo-European
Mundabli,mund1328,mund1328,,,,1433,6b,Atlantic-Congo
Bena Yungur,bena1260,bena1260,,,,1433, ,Atlantic-Congo
Xiang,xian1251,xian1251,,,,496,5,Sino-Tibetan
"Spanish, Chile",Ø,Ø,,,,589,1,Indo-European
"Tashlhiyt, Agadir",Ø,Ø,,,,375,5*,Afro-Asiatic
"Neo-Aramaic, Western",west2763,west2763,,,,375, ,Afro-Asiatic
Biga,biga1238,biga1238,,,,1277,6b,Austronesian
Batta,bata1291,bata1291,,,,1277,6b,Austronesian
Bultih,Ø,Ø,,,,1277,7,Austronesian
As,asss1237,asss1237,,,,1277,8b,Austronesian
Blagar,blag1240,blag1240,,,,23,6a*,Timor-Alor-Pantar
Alorese,alor1247,alor1247,,,,1277,6a*,Austronesian
"Bajau, Labuanbajo",Ø,Ø,,,,1277, ,Austronesian
Agöb,agob1245,agob1245,,,,2,6a,Pahoturi
Kunini,kuni1264,kuni1264,,,,4,5,Eastern Trans Fly
Polish Sign Language,poli1259,poli1259,,,,196,5,Sign Language
Polish,poli1260,poli1260,,,,589,1,Indo-European
"Lampung, Way Kanan",Ø,Ø,,,,1277, ,Austronesian
"Melanau, Mukah",muka1237,muka1237,,,,1277,6b*,Austronesian
Kimbundu,kimb1241,kimb1241,,,,1433,3,Atlantic-Congo
"Bajau, Mapun Cagayan",mapu1244,mapu1244,,,,1277,6a*,Austronesian
"Murut, Paluan Solok",Ø,Ø,,,,1277, ,Austronesian
Ikpeng,ikpe1245,ikpe1245,,,,42,6a*,Cariban
Muyu (nort),nort2916,nort2916,,,,316,6a*,Nuclear Trans New Guinea
Tutong,tuto1241,tuto1241,,,,1277,6b,Austronesian
"Aari, Shangama",aari1239,aari1239,,,,5,4,South Omotic
Dime,dime1235,dime1235,,,,5,6a,South Omotic
kefa,kafa1242,kafa1242,,,,19,4,Ta-Ne-Omotic
Hamer,hame1242,hame1242,,,,5, ,South Omotic
,,,,,,,,
Kara,kara1481,kara1481,,,,1433,7,Atlantic-Congo
