society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B162,Chimariko,xd1094,chim1301,Chimariko,,B014,54.71756,,1860,,
B268,Squamish,xd1072,squa1248,Squamish,Salishan,B014,54.71756,,1880,,
B102,Lardil,xd951,lard1243,Lardil,Tangkic,B014,56.3269,,1909,,
B103,Kaiadilt,xd952,kaya1319,Kayardild,Tangkic,B014,56.3269,,1928,,Binford estimate
B10,Vedda,xd690,vedd1240,Veddah,Indo-European,B014,57.93624,,1900,,
B158,Eastern Pomo,xd1116,east2545,Eastern Pomo,Pomoan,B014,57.93624,,1860,,
B362,Dena'ina,xd1042,tana1289,Tanaina,Athabaskan-Eyak-Tlingit,B014,57.93624,,1843,,"Note, focal year differs from that for some other data for society"
B61,Bayaka,xd924,beka1240,Beka,Atlantic-Congo,B014,59.54558,,1976,,
B144,Cahuilla (Desert),xd1131,cahu1264,Cahuilla,Uto-Aztecan,B014,64.3736,,1870,,Binford estimate
B279,Stó:lō,xd1087,chil1281,Chiliwack,Salishan,B014,64.3736,,1880,,
B322,Syilx,xd1001,sout2963,Southern Okanogan,Salishan,B014,64.3736,,1860,,
B5,Onge,xd902,onge1236,Önge,Jarawa-Onge,B014,64.3736,,1952,,
B99,Mulluk,xd948,mull1237,Mullukmulluk,Northern Daly,B014,64.3736,,1900,,Binford estimate
B188,Modoc,xd1140,klam1254,Klamath-Modoc,,B014,72.4203,,1860,,
B285,Klallam,xd1075,clal1241,Clallam,Salishan,B014,72.4203,,1860,,
B293,Gitxsan,xd998,gitx1241,Gitxsan,Tsimshian,B014,72.4203,,1880,,
B151,Wukchumni,xd1124,tule1245,Tule-Kaweah Yokuts,Yokutsan,B014,80.467,,1860,,Binford estimate
B2,Palawan Batak,xd900,bata1301,Batak,Austronesian,B014,80.467,,1968,,
B270,Puyallup,xd1076,sout2965,Southern Puget Sound Salish,Salishan,B014,80.467,,1870,,
B17,Paliyans,xd910,pali1274,Paliyan,Dravidian,B014,88.5137,,1963,,
B179,Shasta,xd1093,shas1239,Shasta,Shastan,B014,88.5137,,1860,,
B292,Tlingit,xd1082,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,B014,88.5137,,1880,Special reference to Chilkat Tlingit,"Note, two estimates provided by Binford, the first refers specifically to Southern Tlingit (48.3 km) and the second to Chilkat Tlingit (88.5 km); this entry is one of those estimates"
B6,Jarawa,xd903,jara1245,Jarawa (India),Jarawa-Onge,B014,94.95106,,1906,,
B166,Sinkyone,xd1100,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,B014,96.5604,,1860,,
B178,Tolowa,xd1103,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,B014,96.5604,,1870,,
B280,Cowichan,xd1086,cowi1241,Cowichan,Salishan,B014,96.5604,,1880,,
B333,Shuswap,xd1143,shus1248,Shuswap,Salishan,B014,96.5604,,1850,,
B389,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,B014,96.5604,,1880,,
B62,Bambote,xd925,holo1240,Holoholo,Atlantic-Congo,B014,96.5604,,1977,,
B83,Larikia,xd938,lara1258,Laragia,,B014,96.5604,,1900,,
B97,Anindilyagwa,xd776,anin1240,Anindilyakwa,Gunwinyguan,B014,96.5604,,1930,,
B187,Achumawi,xd1108,achu1247,Achumawi,Palaihnihan,B014,102.99776,,1860,,
B357,Deg Xit'an,xd1066,dege1248,Degexit'an,Athabaskan-Eyak-Tlingit,B014,102.99776,,1880,,
B65,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,B014,102.99776,,1930,,"Note, three estimates provided by Binford: the first is general or refers to an unspecified Mbuti case (103 km), the second refers specifically to Mawambo Mbuti (104 km) and the third to Mbuti of the Tetri Area (233.3 km); this entry is one of those estimates"
B137,Tasmanians (northwestern),xd783,port1278,Port Sorell,Western Tasmanian,B014,104.6071,,1830,,
B271,Twana,xd1079,twan1247,Twana,Salishan,B014,104.6071,,1850,,
B64,Efe,xd927,efee1239,Efe,Central Sudanic,B014,104.6071,,1980,,
B65,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,B014,104.6071,,1930,Special reference to Mawambo Mbuti,"Note, three estimates provided by Binford: the first is general or refers to an unspecified Mbuti case (103 km), the second refers specifically to Mawambo Mbuti (104 km) and the third to Mbuti of the Tetri Area (233.3 km); this entry is one of those estimates"
B105,Mamu,xd954,mamu1253,Mamu,Pama-Nyungan,B014,112.6538,,1900,,
B154,Northern Foothills Yokuts,xd1129,nort2937,Northern Hill/Valley Yokuts,Yokutsan,B014,112.6538,,1850,,
B176,Takelma,xd1091,take1257,Takelma,,B014,112.6538,,1860,,
B315,Tenino,xd1141,teni1238,Tenino,Sahaptian,B014,112.6538,,1850,,
B385,Kalaallit (West Greenland),xd1041,kala1399,Kalaallisut,Eskimo-Aleut,B014,112.6538,,1880,,
B45,Nambikwara,xd1401,sout2994,Southern Nambikuára,Nambiquaran,B014,112.6538,,1938,,"Note, two estimates provided by Binford (20.92 km, 112.6 km); this entry is one of those estimates"
B181,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,B014,120.7005,,1870,,
B20,Cholanaikkan,xd913,jenn1240,Jennu Kurumba,Dravidian,B014,120.7005,,1974,,
B323,Sanpoil,xd1174,sanp1257,Sanpoil,Salishan,B014,120.7005,,1870,,
B380,Inupiat,xd1021,nort2944,North Slope Inupiatun,Eskimo-Aleut,B014,120.7005,,1880,,
B60,Aka,xd923,bamb1264,Bambenzele,Atlantic-Congo,B014,120.7005,,1980,,
B72,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,B014,120.7005,,1950,Special reference to Dobe !Kung,"Note, two estimates provided by Binford, the first refers specifically to Nyae Nyae !Kung (120.7) and the second to Dobe !Kung (466.2); this entry is one of those estimates"
B95,Tiwi,xd778,tiwi1244,Tiwi,,B014,120.7005,,1920,,
B8,Andamanese,xd686,akab1249,Aka-Bea,Great Andamanese,B014,122.30984,,1870,,"Note, value provided in Table 5.01 but not Table 8.04"
B147,Kumeyaay,xd1137,kumi1248,Tipai,Cochimi-Yuman,B014,128.7472,,1850,,Binford estimate
B69,Hadza,xd9,hadz1240,Hadza,,B014,128.7472,,1910,,
B189,Klamath,xd1139,klam1254,Klamath-Modoc,,B014,135.18456,,1860,,
B157,Western Mono,xd1122,mono1275,Mono (USA),Uto-Aztecan,B014,136.7939,,1870,,
B174,Yana,xd1109,yana1271,Yana,,B014,136.7939,,1860,,
B373,Great Whale Inuit,xd1017,queb1248,Nunavik,Eskimo-Aleut,B014,136.7939,,1890,,
B63,Baka,xd926,baka1272,Baka (Cameroon),Atlantic-Congo,B014,136.7939,,1980,,
B92,Nunggubuyu,xd944,nung1290,Wubuy,Gunwinyguan,B014,136.7939,,1960,,
B119,Badjalang,xd966,midd1357,Middle Clarence Bandjalang,Pama-Nyungan,B014,144.8406,,1850,,
B134,Bunurong,xd978,woiw1237,Woiwurrung,Pama-Nyungan,B014,144.8406,,1850,,
B146,Kiliwa,xd1134,kili1268,Kiliwa,Cochimi-Yuman,B014,144.8406,,1880,,Binford estimate
B149,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,B014,144.8406,,1870,,Binford estimate
B18,Birhor,xd911,birh1242,Birhor,Austroasiatic,B014,144.8406,,1963,,
B210,Toedokado,xd1161,sout2967,South Northern Paiute,Uto-Aztecan,B014,144.8406,,1870,,
B217,Railroad Valley Shoshoni,xd1171,west2622,Western Shoshoni,Uto-Aztecan,B014,144.8406,,1860,,
B276,Lillooet,xd1207,lill1248,Lillooet,Salishan,B014,144.8406,,1860,,
B28,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,B014,144.8406,,1860,,
B321,Sinkaitk,xd1147,sout2963,Southern Okanogan,Salishan,B014,144.8406,,1880,,
